location,latitude,longitude,forecast_issue_time,target_time,forecast_time_hours,start_step_hours,end_step_hours,control_forecast,ensemble_mean,ensemble_median,ensemble_min,ensemble_max,ensemble_spread,observed_rainfall_mm,control_error,ensemble_mean_error,absolute_control_error,absolute_ensemble_mean_error,event_significant,bust,bust_type,month,season,control_vs_ensemble,relative_spread,ensemble_range_ratio,forecast_intensity
Chennai,13.0827,80.2707,2000-01-19,2000-01-25 09:00:00,150,150,153,0.0,0.0,0.0,0.0,0.0,0.0,0.003814697265625,-0.003814697265625,-0.003814697265625,0.003814697265625,0.003814697265625,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-25 15:00:00,156,156,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-25 21:00:00,162,162,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-26 03:00:00,168,168,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0324249267578125,-0.0324249267578125,-0.0324249267578125,0.0324249267578125,0.0324249267578125,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-26 09:00:00,174,174,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-26 15:00:00,180,180,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-26 21:00:00,186,186,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0619888305664062,-0.0619888305664062,-0.0619888305664062,0.0619888305664062,0.0619888305664062,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-27 03:00:00,192,192,195,0.0,0.0,0.0,0.0,0.0,0.0,0.0524520874023437,-0.0524520874023437,-0.0524520874023437,0.0524520874023437,0.0524520874023437,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-27 09:00:00,198,198,201,0.0,0.004,0.0,0.0,0.02,0.02,0.0,0.0,0.004,0.0,0.004,False,0,normal,1,winter,-0.004,0.1923076923076923,0.1923076923076923,0.004
Chennai,13.0827,80.2707,2000-01-19,2000-01-27 15:00:00,204,204,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-27 21:00:00,210,210,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-28 03:00:00,216,216,219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-28 09:00:00,222,222,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,normal,1,winter,0.0,0.0,0.0,0.0
