location,latitude,longitude,forecast_issue_time,target_time,forecast_time_hours,start_step_hours,end_step_hours,ensemble_member,forecast_rainfall_mm
Chennai,13.0827,80.2707,2000-01-01,2000-01-07 03:00:00,144,144,147,p04,8.200000000000001
Chennai,13.0827,80.2707,2000-01-01,2000-01-07 09:00:00,150,150,153,p04,3.6
Chennai,13.0827,80.2707,2000-01-01,2000-01-07 15:00:00,156,156,159,p04,0.1
Chennai,13.0827,80.2707,2000-01-01,2000-01-07 21:00:00,162,162,165,p04,0.01
Chennai,13.0827,80.2707,2000-01-01,2000-01-08 03:00:00,168,168,171,p04,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-08 09:00:00,174,174,177,p04,0.05
Chennai,13.0827,80.2707,2000-01-01,2000-01-08 15:00:00,180,180,183,p04,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-08 21:00:00,186,186,189,p04,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-09 03:00:00,192,192,195,p04,2.1
Chennai,13.0827,80.2707,2000-01-01,2000-01-09 09:00:00,198,198,201,p04,2.8000000000000003
Chennai,13.0827,80.2707,2000-01-01,2000-01-09 15:00:00,204,204,207,p04,1.9000000000000001
Chennai,13.0827,80.2707,2000-01-01,2000-01-09 21:00:00,210,210,213,p04,0.5
Chennai,13.0827,80.2707,2000-01-01,2000-01-10 03:00:00,216,216,219,p04,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-10 09:00:00,222,222,225,p04,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-10 15:00:00,228,228,231,p04,0.0
Chennai,13.0827,80.2707,2000-01-01,2000-01-10 21:00:00,234,234,237,p04,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-19 03:00:00,0,0,3,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-19 09:00:00,6,6,9,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-19 15:00:00,12,12,15,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-19 21:00:00,18,18,21,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-20 03:00:00,24,24,27,c00,0.0
Chennai,13.0827,80.2707,2000-01-19,2000-01-20 09:00:00,30,30,33,c00,0.0
