location,latitude,longitude,forecast_issue_time,target_time,forecast_time_hours,start_step_hours,end_step_hours,control_forecast,ensemble_mean,ensemble_median,ensemble_min,ensemble_max,ensemble_spread,observed_rainfall_mm,control_error,ensemble_mean_error,absolute_control_error,absolute_ensemble_mean_error
Chennai,13.0827,80.2707,2000-01-30,2000-02-02 21:00:00,90,90,93,0.0,0.392,0.0,0.0,1.94,1.94,0.0972747802734375,-0.0972747802734375,0.2947252197265625,0.0972747802734375,0.2947252197265625
Chennai,13.0827,80.2707,2000-01-30,2000-02-03 03:00:00,96,96,99,0.4,0.084,0.0,0.0,0.4,0.4,0.2322196960449218,0.16778030395507823,-0.1482196960449218,0.16778030395507823,0.1482196960449218
Chennai,13.0827,80.2707,2000-01-30,2000-02-03 09:00:00,102,102,105,0.06,0.012,0.0,0.0,0.06,0.06,0.1759529113769531,-0.1159529113769531,-0.1639529113769531,0.1159529113769531,0.1639529113769531
Chennai,13.0827,80.2707,2000-01-30,2000-02-03 15:00:00,108,108,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0338554382324218,-0.0338554382324218,-0.0338554382324218,0.0338554382324218,0.0338554382324218
Chennai,13.0827,80.2707,2000-01-30,2000-02-03 21:00:00,114,114,117,0.22,0.224,0.1,0.0,0.8,0.8,0.1578330993652343,0.06216690063476571,0.06616690063476571,0.06216690063476571,0.06616690063476571
Chennai,13.0827,80.2707,2000-01-30,2000-02-04 03:00:00,120,120,123,0.75,0.19,0.0,0.0,0.75,0.75,0.2942085266113281,0.4557914733886719,-0.10420852661132812,0.4557914733886719,0.10420852661132812
Chennai,13.0827,80.2707,2000-01-30,2000-02-04 09:00:00,126,126,129,0.0,0.0,0.0,0.0,0.0,0.0,0.2107620239257812,-0.2107620239257812,-0.2107620239257812,0.2107620239257812,0.2107620239257812
Chennai,13.0827,80.2707,2000-01-30,2000-02-04 15:00:00,132,132,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0009536743164062,-0.0009536743164062,-0.0009536743164062,0.0009536743164062,0.0009536743164062
Chennai,13.0827,80.2707,2000-01-30,2000-02-04 21:00:00,138,138,141,0.17,0.094,0.0,0.0,0.3,0.3,0.0700950622558593,0.0999049377441407,0.023904937744140695,0.0999049377441407,0.023904937744140695
Chennai,13.0827,80.2707,2000-01-30,2000-02-05 03:00:00,144,144,147,0.0,0.01,0.0,0.0,0.03,0.03,0.0944137573242187,-0.0944137573242187,-0.0844137573242187,0.0944137573242187,0.0844137573242187
Chennai,13.0827,80.2707,2000-01-30,2000-02-05 09:00:00,150,150,153,0.0,0.06,0.0,0.0,0.2,0.2,0.1361370086669922,-0.1361370086669922,-0.07613700866699219,0.1361370086669922,0.07613700866699219
Chennai,13.0827,80.2707,2000-01-30,2000-02-05 15:00:00,156,156,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0004768371582031,-0.0004768371582031,-0.0004768371582031,0.0004768371582031,0.0004768371582031
Chennai,13.0827,80.2707,2000-01-30,2000-02-05 21:00:00,162,162,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0033378601074218,-0.0033378601074218,-0.0033378601074218,0.0033378601074218,0.0033378601074218
Chennai,13.0827,80.2707,2000-01-30,2000-02-06 03:00:00,168,168,171,0.0,0.018,0.0,0.0,0.09,0.09,0.0548362731933593,-0.0548362731933593,-0.036836273193359304,0.0548362731933593,0.036836273193359304
